,gameID,event_date,loc,result,FLA_goals,FLA_pim,FLA_shots,FLA_powerPlayPercentage,FLA_powerPlayGoals,FLA_powerPlayOpportunities,FLA_faceOffWinPercentage,FLA_blocked,FLA_takeaways,FLA_giveaways,FLA_hits,OPP_goals,OPP_pim,OPP_shots,OPP_powerPlayPercentage,OPP_powerPlayGoals,OPP_powerPlayOpportunities,OPP_faceOffWinPercentage,OPP_blocked,OPP_takeaways,OPP_giveaways,OPP_hits
26,2010020414,2010-12-10T00:00:00Z,away,W,3,21,32,16.7,1,6,44.3,16,2,13,12,0,17,36,0,0,8,55.7,13,7,5,21
27,2010020433,2010-12-12T01:00:00Z,away,L,0,12,22,0,0,1,61.7,17,5,7,18,3,6,27,25,1,4,38.3,8,7,11,17
28,2010020456,2010-12-16T00:30:00Z,home,L,3,8,27,33.3,1,3,61.8,21,4,6,21,4,6,34,25,1,4,38.2,9,2,0,38
29,2010020470,2010-12-18T00:30:00Z,home,W,6,14,26,20,1,5,45.3,15,7,3,30,2,14,43,20,1,5,54.7,9,4,4,31
30,2010020490,2010-12-21T00:00:00Z,away,W,5,2,34,0,0,4,56.5,14,8,5,16,0,8,26,0,0,1,43.5,13,4,6,26
31,2010020503,2010-12-23T00:00:00Z,away,L,2,18,37,0,0,3,45.8,11,3,0,15,5,16,34,0,0,4,54.2,12,4,10,13
32,2010020507,2010-12-24T00:00:00Z,away,W,4,14,29,25,1,4,57.4,18,2,5,12,3,22,48,20,1,5,42.6,10,1,7,22
33,2010020532,2010-12-28T00:30:00Z,home,OTL,2,4,34,0,0,2,51.9,11,6,7,34,2,6,42,0,0,1,48.1,17,5,3,34
34,2010020558,2010-12-31T22:00:00Z,home,OTL,2,8,22,0,0,6,53.7,13,5,2,25,3,12,48,50,2,4,46.3,13,5,3,33
35,2010020574,2011-01-02T22:00:00Z,home,W,3,4,36,33.3,1,3,58,15,10,8,24,0,6,32,0,0,2,42,18,5,8,34
36,2010020582,2011-01-04T00:00:00Z,away,W,4,10,28,0,0,1,52.6,15,9,2,19,3,6,37,0,0,3,47.4,21,17,5,46
37,2010020593,2011-01-06T00:30:00Z,home,L,2,15,35,0,0,2,45.6,13,10,9,31,3,4,31,16.7,1,6,54.4,18,7,0,19
38,2010020606,2011-01-08T00:30:00Z,home,L,3,6,35,0,0,3,62.5,8,2,8,26,5,6,35,0,0,3,37.5,15,4,7,57
39,2010020617,2011-01-09T00:00:00Z,away,L,2,6,27,0,0,4,48,17,4,3,17,3,8,27,33.3,1,3,52,18,10,12,25
40,2010020638,2011-01-12T00:30:00Z,home,W,4,12,41,50,3,6,51.5,3,10,6,27,3,12,33,0,0,5,48.5,22,2,2,21
41,2010020650,2011-01-14T00:30:00Z,home,W,3,6,34,0,0,3,47.7,11,9,5,29,2,6,29,0,0,3,52.3,6,7,2,40
42,2010020665,2011-01-16T00:00:00Z,home,W,3,8,22,50,2,4,52.9,10,10,2,36,2,8,35,0,0,4,47.1,13,3,2,32
43,2010020681,2011-01-18T00:30:00Z,home,OTL,2,4,40,40,2,5,50.8,20,11,3,30,2,10,30,0,0,2,49.2,15,3,1,36
44,2010020694,2011-01-20T00:30:00Z,home,OTL,2,11,31,0,0,4,49.2,13,13,4,27,3,13,38,33.3,1,3,50.8,13,5,0,37
45,2010020710,2011-01-22T00:30:00Z,home,OTL,1,4,30,0,0,7,54.1,19,6,3,31,1,14,21,0,0,1,45.9,14,7,6,29
46,2010020723,2011-01-23T20:00:00Z,away,L,2,6,26,0,0,1,48.2,7,2,4,9,5,2,23,66.7,2,3,51.8,8,5,8,19
47,2010020734,2011-01-26T00:00:00Z,away,W,4,8,17,0,0,1,54.8,16,3,3,25,3,2,35,25,1,4,45.2,11,5,6,29
48,2010020742,2011-01-27T00:00:00Z,away,L,1,2,35,0,0,1,42.9,19,11,11,29,2,2,35,0,0,1,57.1,9,8,11,23
49,2010020751,2011-02-02T00:00:00Z,away,OTL,3,8,33,50,2,4,52.7,15,7,10,23,3,8,25,25,1,4,47.3,24,5,17,31
