id,season,name,position,age,height,weight,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8471694,20102011,Kenndal McArdle,LW,23,"5' 11""",190,109:24:00,0,0,16,6,11,36,0,0,0:18,109:06:00,16,33.33,0,0,0,0,0,0:00,3,-3,0,151,9:56,9:55,0:00,0:01,,,,,,,,,,,,,,,,,,,,
8471697,20102011,Niclas Bergfors,RW,22,"5' 10""",194,1062:13:00,24,12,8,152,72,12,3,9,122:54:00,938:19:00,8,44.44,7.89,1,0,0,0,1:00,13,-9,36,1372,14:45,13:01,0:00,1:42,,,,,,,,,,,,,,,,,,,,
8471842,20102011,Tim Kennedy,LW,23,"5' 10""",175,62:17:00,1,0,0,2,6,16,0,0,1:04,61:13:00,0,40,0,0,0,0,0,0:00,6,0,1,82,10:22,10:12,0:00,0:10,,,,,,,,,,,,,,,,,,,,
8471941,20102011,Mike Duco,RW,22,"5' 10""",200,17:06,0,0,10,0,2,6,0,0,0:00,17:06,10,0,0,0,0,0,0,0:00,0,-1,0,30,8:33,8:33,0:00,0:00,,,,,,,,,,,,,,,,,,,,
8472262,20102011,Clay Wilson,D,26,"6' 0""",195,222:39:00,2,3,6,22,15,16,0,1,40:51:00,181:48:00,6,0,13.64,0,0,0,0,0:00,11,4,5,253,14:50,12:07,0:00,2:43,,,,,,,,,,,,,,,,,,,,
8472361,20102011,Bill Thomas,RW,26,"6' 1""",185,204:10:00,3,4,6,33,24,19,0,0,1:18,197:43:00,6,59.09,12.12,2,0,0,0,5:09,10,1,7,299,8:30,8:14,0:12,0:03,,,,,,,,,,,,,,,,,,,,
8473564,20102011,Michael Frolik,RW,21,"6' 1""",186,1247:24:00,27,11,30,251,80,52,1,6,134:47:00,1106:51:00,30,40.33,4.38,1,0,0,0,5:46,37,2,38,1672,15:35,13:50,0:04,1:41,,,,,,,,,,,,,,,,,,,,
8473574,20102011,Shawn Matthias,LW,21,"6' 4""",231,603:52:00,10,6,16,90,51,60,0,2,33:49:00,562:53:00,16,50.81,6.67,0,0,0,0,7:10,20,0,16,831,11:50,11:02,0:08,0:39,,,,,,,,,,,,,,,,,,,,
8473646,20102011,Ryan Carter,LW,26,"6' 1""",205,621:12:00,6,3,66,63,62,133,0,0,3:25,530:23:00,66,50.62,4.76,0,0,0,1,87:24:00,22,-1,9,931,10:01,8:33,1:24,0:03,,,,,,,,,,,,,,,,,,,,
8474149,20102011,Evgenii Dadonov,RW,20,"5' 11""",189,513:09:00,9,8,14,60,36,45,1,1,32:48:00,480:15:00,14,20,13.33,0,0,0,0,0:06,11,0,17,686,14:15,13:20,0:00,0:54,,,,,,,,,,,,,,,,,,,,
